Id,Label,Top Game,Language
643,rather777,Just Chatting,Korean
644,ratirl,League of Legends,English
645,rebeudeter,League of Legends,French
646,reitathefps,VALORANT,Japanese
647,rekkles,League of Legends,English
648,restiafps,Apex Legends,Chinese
649,rhffkddl96,League of Legends,Korean
650,ricadam_lol,League of Legends,French
651,ringkyu1123,League of Legends,Korean
652,riotgames,League of Legends,English
653,riotgames_korea,League of Legends: Wild Rift,Korean
654,riotgamesjp,League of Legends,Japanese
655,riotgameslatam,Arcane,Spanish
656,riotgamesru,League of Legends,Russian
657,rjsqn1109,League of Legends,Korean
658,rkdthdus930,League of Legends,Korean
659,rkdwl12,Just Chatting,Korean
660,rlawnsvy7,Just Chatting,Korean
661,rlgus1006,League of Legends,Korean
662,rngudwnswkd,League of Legends,Korean
663,rocketbaguette,Rocket League,French
664,rockggun,Minecraft,Korean
665,rogue,Apex Legends,English
666,roki_ch,Apex Legends,Japanese
667,ronaronakr,Just Chatting,Korean
668,rooftopcat99,Just Chatting,Korean
669,rprx,Apex Legends,English
670,rtainjapan,Fushigi no Dungeon: Furai no Shiren Gaiden - Onna Kenshi Asuka Kenzan!,Japanese
671,rua_jp,VALORANT,Japanese
672,rulrudino,Just Chatting,Korean
673,runner0608,Just Chatting,Korean
674,rybsonlol_,League of Legends,Polish
675,s1032204,Just Chatting,Korean
676,s1mple,Counter-Strike: Global Offensive,English
677,saddummy,Just Chatting,Korean
678,sah_yang,Apex Legends,Korean
679,saken_lol,League of Legends,French
680,sal_gu,Dead by Daylight,Korean
681,samueletienne,Just Chatting,French
682,sapnapalt,VALORANT,English
683,sasatikk,Escape From Tarkov,Japanese
684,scarlet6942,League of Legends,Korean
685,scoped,Fortnite,English
686,score1992,League of Legends,Korean
687,selly55,Apex Legends,Korean
688,seoldam99,VALORANT,Korean
689,ses836,League of Legends,Korean
690,shahzam,VALORANT,English
691,shibuyahal,Apex Legends,Japanese
692,shivfps,Apex Legends,English
693,shomaru7,Apex Legends,Japanese
694,shroud,VALORANT,English
695,silphtv,League of Legends,Korean
696,silversigle,LOST ARK,Korean
697,sinatraa,VALORANT,English
698,skeppy,other,English
699,skmgsysy,Eternal Return,Japanese
700,sktt1fan_,League of Legends,Korean
701,slamzinseok,Just Chatting,Japanese
702,sleepground,Minecraft,Korean
703,slemf4062,League of Legends,Korean
704,smthlikeyou11,VALORANT,Russian
705,sn400ja,Teamfight Tactics,Korean
706,sneakylol,League of Legends,English
707,snip3down,Apex Legends,English
708,snow_hite,Just Chatting,Korean
709,so_urf,League of Legends,Korean
710,sodapoppin,World of Warcraft,English
711,solary,League of Legends,French
712,som0322,Just Chatting,Korean
713,sonycast_,Just Chatting,Korean
714,sooflower,Just Chatting,Korean
715,sorammmm,League of Legends,Korean
716,sorimcaster,LOST ARK,Korean
717,spygea,Apex Legends,Japanese
718,stansmith_jp,VALORANT,Japanese
719,steel_tv,VALORANT,English
720,steelohs,Just Chatting,Korean
721,stormen,Apex Legends,English
722,stylishnoob4,Apex Legends,Japanese
723,su_ning,Just Chatting,Korean
724,sugarz3ro,VALORANT,Japanese
725,suhyen0107,Just Chatting,Korean
726,sujagg,Fortnite,Spanish
727,summit1g,Grand Theft Auto V,English
728,sunbaking,Just Chatting,Korean
729,surugamonkey0113,VALORANT,Japanese
730,sutanmi,League of Legends,Japanese
731,suxkingiscoming,Escape From Tarkov,Korean
732,swab85,Food & Drink,Korean
733,sweetdreams,Apex Legends,English
734,swon5274,Just Chatting,Korean
735,syaruru3,League of Legends,Japanese
736,sykkuno,Grand Theft Auto V,English
737,sz_taisheen,Apex Legends,English
738,t1_cuzz,League of Legends,Korean
739,t1_ellim,League of Legends,Korean
